Person ID,Death Location,Associated Country/Dynasty
2,177,379
3,379,177
4,177,177
6,379,177
10,304,177
20,179,379
25,,28
40,83,83
42,83,83
43,83,172
44,83,83
45,83,28
120,177,172
132,177,177, 27
133,177,177
138,177,379
139,379,379
144,177,177, 27
162,172,172
163,83,240
203,177,177
205,216,379
211,28,28
227,240,240
245,99999,304
247,63,63
298,390,29
324,66,177, 27
331,390,177
340,27,177
343,172,177, 27
344,390,390
356,379,63
410,172,38
411,172,172
414,379,172
427,379,55
495,,
516,172,55
516,29,172
529,304,304
553,172,172
556,172,28
559,66,172
568,172,172
569,172,27
576,66,106
582,106,106
595,216,63
604,379,390
626,,
637,20,20
646,216,216
652,66,66
655,66,66
683,375,375
684,216,216
685,,
686,216,216
690,343,20
692,177,390
709,177,177
725,177,177
726,177,390
730,177,177
735,157,170
740,304,304, 291
743,177,177
744,177,177
749,304,177
764,390,390
768,,
771,27,27
774,177,177
775,177,177
776,177,177
833,177,177
838,304,304
871,375,379
872,375,296
896,375,304
951,375,304
1017,375,216
1027,385,385, 389
1028,385,66
1029,66,172
1069,83,27
1070,63,63
1071,,63
1073,304,63
1075,63,83
1084,20,379
1086,63,63
1099,379,172
1110,99999,172
1114,99999,99999
1139,20,20
1142,20,379
1143,20,20
1168,385,172
1173,172,29
1174,172,172
1182,343,20
1196,,20
1197,20,20
1200,304,20
1213,,
1216,379,106
1246,375,375
1248,304,304
1296,83,83
1298,83,83
1424,304,304
1439,216,216
1618,390,29
1625,390,390, 389
1628,390,379
1631,390,27
1638,385,390
1639,29,390
1641,390,29
1645,390,390, 389
1646,390,390
1649,390,390
1662,,216
1690,,
1736,29,29
1816,304,304
2130,375,375
2131,375,375
2134,375,304
2135,304,375
2415,157,157
2416,35,216
2417,216,375, 396
2418,216,379
2420,216,216, 379
2422,216,157
2423,304,304
2424,375,375
2431,216,379
2443,375,296
2449,99999,216
2507,304,304
2510,304,304
2517,304,304
2522,304,304
2656,106,55
2665,83,83
2671,83,83
2858,385,390
2859,385,385
2864,390,56
2875,375,339
2876,375,296
2877,375,56
2878,343,375
2881,375,56, 70
2882,304,20
2883,35,343, 344
2885,293,293
2887,375,375
2888,296,375, 344, 339, 293
2913,343,304
3764,343,343
3769,,343
3770,,
3779,340,340
3874,,19
3880,56,28
4643,20,
4869,19,19
4885,177,304
4908,55,83
4980,29,29
5032,20,29
5161,19,385
5163,40,385
5168,19,19
5335,304,304
5505,385,385
5549,70,70
5910,,
7235,379,379
7236,216,379
7269,343,343
10155,296,296
10157,296,296
10175,296,296
10177,296,296
10179,296,296
10180,296,296
10204,343,346
10209,340,340
10248,343,343
10257,343,339
10267,347,347
10268,347,347
10378,20,379
10513,375,216
11656,,
11711,28,28
11715,28,28
11730,172,172
11731,172,172
11733,172,172
11746,56,56
11748,56,56
11752,216,56
11753,56,56
11756,56,56
14273,343,216
14853,70,379
14855,99999,293
15046,304,304
15060,304,304
18470,385,379
18480,83,27
18493,216,216
18497,,
18502,379,375
18503,216,347
18509,,216
18510,296,375
18511,296,375
18512,296,157
18955,216,379
18962,177,379
18970,56,70
18971,56,390
18973,56,216
18974,56,340
18975,,
19027,248,340
19090,304,304
19093,304,304
19096,,
19100,177,304
19168,,
19388,83,304
19483,216,27
19494,83,28
19497,216,83
20257,390,385
20259,,
20261,70,
20373,70,216
20378,70,216
20405,385,385
23643,172,390, 389, 385
23663,379,172
23664,,379
23681,379,390
23762,304,304
23763,216,340
23764,343,375
23784,216,375
23792,347,56
23883,375,296
23893,375,375
23944,216,56
23952,216,216
25924,379,28
26045,157,379
30759,29,29
30767,216,63
31030,,
31900,216,347
31910,347,347
31914,177,347
31982,343,375
31985,216,216
32118,347,343
38594,28,56
