Year Since Death, Mean, Confidence Interval
-10,.52422907,.0191375326784584
-9,.54038179,.0190974512571125
-8,.53157122,.0191218082531927
-7,.62555066,.0185461693831299
-6,.58590308,.0188751466317011
-5,.58737151,.0188652466532332
-4,.59911894,.0187797902430754
-3,.62114537,.0185891430209109
-2,.67547724,.017941319690317
-1,.60352423,.0187448567197153
0,.60792952,.018708334801495
1,.54772394,.0190725651152343
2,.54331865,.0190879983452816
3,.59030837,.0188449270371814
4,.51982379,.0191449765826951
5,.58443465,.0188848737552788
6,.5814978,.0189038105003506
7,.58883994,.018855173547601
8,.58443465,.0188848737552788
9,.50954479,.0191565502398522
10,.52422907,.0191375326784584
