Year Since Death, Mean, Confidence Interval
-10,.1138154,.0103415234402294
-9,.11983492,.0105651709331013
-8,.12219559,.0104825535112765
-7,.12522197,.0105455616146543
-6,.13020518,.0106179633767123
-5,.13064215,.0105689272404582
-4,.13089778,.0104266455082203
-3,.13575826,.0104798035726775
-2,.14037214,.010561217786312
-1,.14628986,.0105727640758089
0,.14736775,.0105014652700738
1,.06644428,.007502929432946
2,.07476683,.0079506894172111
3,.07680734,.0081046934710531
4,.07867241,.0082130506492743
5,.08316401,.0085022700946776
6,.08539034,.0086921737331185
7,.08777786,.0089189102354002
8,.08959007,.0090603176291313
9,.09215477,.0092319326410487
10,.0958875,.0094682320740494
