Year Since Death, Mean, Confidence Interval
-10,.05580029,.0172398184593898
-9,.05873715,.0176601510526619
-8,.04992658,.0163578794132932
-7,.06020558,.0178655881800408
-6,.04992658,.0163578794132932
-5,.05139501,.01658386236171
-4,.05433186,.0170246894726036
-3,.06314244,.0182675359474838
-2,.07929515,.0202939251303363
-1,.08810573,.0212890768041335
0,.10425844,.0229524735373645
1,.0969163,.0222200447445764
2,.10132159,.0226639529501939
3,.08516887,.0209649303343538
4,.0763583,.019946302356955
5,.10572687,.0230945922031922
6,.10425844,.0229524735373645
7,.10279001,.0228089361051548
8,.10279001,.0228089361051548
9,.05139501,.01658386236171
10,.04405286,.015412976815337
