Year Since Death, Mean, Confidence Interval
-10,.02252252,.00995830462925
-9,.01351351,.0077491349316772
-8,.03153153,.0117284005135927
-7,.04054054,.0132367569572097
-6,.03153153,.0117284005135927
-5,.03603604,.0125089949875441
-4,.03603604,.0125089949875441
-3,.04054054,.0132367569572097
-2,.03603604,.0125089949875441
-1,.04504505,.0139199754326203
0,.0990991,.0200538091073871
1,.12162162,.0219366207018923
2,.12162162,.0219366207018923
3,.13963964,.023263125780629
4,.13513514,.0229446681069194
5,.14414414,.0235734055619616
6,.13063063,.0226176871086032
7,.11261261,.021216495801932
8,.10810811,.0208405297555692
9,.0045045,.0044943477734193
10,0,0
