Decade, Connection
1490,.11348563,
1500,.15016234,
1510,.25194805,
1520,.3307121,
1530,.32424242,
1540,.30865801,
1550,.22385403,
1560,.12238095,
1570,.20238095,
1580,.11664482,
1590,.11038961,
1600,.16936208,
1610,.19047619,
1620,.20319521,
1630,.34875066,
1640,.29381443,
1650,.28789474,
1660,.26442308,
1670,.40792079,
1680,.64571429,
1690,.30952381,
1700,.20028715,
1710,.12806901,
1720,.16,
1730,.34789474,
1740,.30887826,
1750,.28631579,
1760,.20156775,
1770,.28830409,
1780,.33333333,
1790,.34258675,
1800,.68321513,
1810,.92702448,
1820,.72905983,
1830,.80529206,
1840,.78844196,
1850,.73,
1860,.72781241,
1870,.57601185,
1880,.48070175,
1890,.67836257,
1900,.83976608,
1910,.95154185,
