Decade, Wars
1490,.00663228,
1500,.01907468,
1510,.02554113,
1520,.05985146,
1530,.02380952,
1540,.02640693,
1550,.05073431,
1560,.02142857,
1570,.00809524,
1580,.01266929,
1590,.06320346,
1600,.04896676,
1610,.02970297,
1620,.12880679,
1630,.17331207,
1640,.08969072,
1650,.07210526,
1660,.04278846,
1670,.07376238,
1680,.02285714,
1690,.04850088,
1700,.10696339,
1710,.06038487,
1720,.00842105,
1730,.04578947,
1740,.1738437,
1750,.03789474,
1760,.04759239,
1770,.01403509,
1780,.01520468,
1790,.04037855,
1800,.1142632,
1810,.04519774,
1820,.0025641,
1830,.00698952,
1840,.00178208,
1850,.00432432,
1860,.00920154,
1870,.00394867,
1880,.00116959,
1890,0,
1900,0,
1910,.05800294,
