C1,C2,years,war,invpath
216,390,424,.018868,.0272664
216,389,424,.016509,.0351645
389,390,424,0,.1875989
375,389,423,.016548,.0289629
216,385,423,.066194,.0331907
375,390,423,.016548,.0242634
385,389,423,.174941,.1558995
385,390,423,.174941,.1433283
216,375,423,.047281,.2520675
375,385,422,.045024,.030171
83,216,419,.019093,.0362964
83,390,419,.009547,.0685295
83,389,419,.00716,.0502428
83,375,418,.052632,.0211241
83,385,418,.167464,.0507703
216,296,416,0,.1666218
296,389,416,.021635,.0261028
296,390,416,.016827,.0231942
296,385,415,.026506,.0284625
296,375,415,.115663,.2507669
216,379,414,.002415,.5903586
177,390,414,.02657,.1240475
177,216,414,.024155,.0656231
177,389,414,.02657,.1073277
379,390,414,.014493,.0445094
379,389,414,.012077,.0481312
177,375,413,.157385,.0749098
379,385,413,.067797,.0445838
375,379,413,.033898,.186026
177,385,413,.014528,.0788297
83,296,412,.007282,.0251868
83,379,409,.017115,.0546093
83,177,409,.00978,.0709478
296,379,406,0,.1694562
177,296,406,.073892,.0891274
216,343,405,.039506,.2420813
343,389,405,.017284,.0309503
343,390,405,.017284,.0285772
177,379,404,.024752,.0978666
343,375,404,.054455,.1760053
343,385,404,.039604,.0316869
83,343,400,.045,.0258601
296,343,397,.070529,.2244737
177,343,395,.073418,.079689
343,379,395,.032911,.1800879
172,390,377,.018568,.1220395
172,296,377,.013263,.0266381
172,389,377,.005305,.1310009
172,216,377,.076923,.051587
172,385,376,.074468,.1462693
172,375,376,.034574,.0297725
83,172,373,.042895,.0766884
56,390,369,.00271,.1652151
56,216,369,.03523,.0567182
56,296,369,.01355,.0587683
56,389,369,0,.1685487
56,172,369,.04878,.0673359
56,375,368,.048913,.0595214
56,385,368,.105978,.0937512
56,379,367,.035422,.0604268
172,379,367,.054496,.0458631
172,177,367,.024523,.1481223
56,83,365,0,.0154256
216,304,363,.247934,.1239309
304,390,363,.019284,.0137432
304,389,363,.019284,.017065
172,304,363,.203857,.0210775
296,304,363,.151515,.1128045
304,375,362,.290055,.1802956
304,385,362,.016575,.0189702
56,177,359,.002786,.0420912
83,304,359,.077994,.012523
172,343,358,.055866,.0286438
56,304,355,.15493,.0399665
304,379,354,.228814,.1177798
177,304,353,.23796,.0600642
56,343,350,.051429,.0598497
304,343,344,.340116,.164552
66,390,311,.003215,.06464
66,389,311,.003215,.0698846
