period,metric,british_n,nonbritish_n,british_mean,british_median,nonbritish_mean,nonbritish_median
1495-1599,weighted_degree,5,76,15.357177512030452,15.602052522640758,14.531394852646585,14.7068383005883
1495-1599,eigenvector,5,76,0.11781754152198684,0.11912416439598196,0.10813901337195382,0.10764565517200594
1495-1599,betweenness,5,76,0.012330246919202644,0.014069677275889878,0.017880830272869404,0.010256623299428936
1495-1599,closeness,5,76,0.14415558878902357,0.14869888475836432,0.14723019429669124,0.14733014977208597
1600-1699,weighted_degree,5,60,12.916063976443231,13.765726817042607,11.888100657677402,12.18255931160343
1600-1699,eigenvector,5,60,0.13424066438713358,0.14359329178804583,0.12053031287598477,0.12398294363987919
1600-1699,betweenness,5,60,0.02798871942326196,0.027324322469205353,0.014868311552246632,0.01135242374911544
1600-1699,closeness,5,60,0.1577179910506854,0.16886543535620052,0.14554245814211178,0.14988290398126464
1700-1799,weighted_degree,1,68,10.81547619047619,10.81547619047619,13.340297896547895,13.136910311910313
1700-1799,eigenvector,1,68,0.09237851275521244,0.09237851275521244,0.11816342843662513,0.11354947134886685
1700-1799,betweenness,1,68,0.0058977458011698555,0.0058977458011698555,0.01314230771200331,0.005872167044775216
1700-1799,closeness,1,68,0.15011037527593818,0.15011037527593818,0.15723169968209946,0.1522958236775313
1800-1918,weighted_degree,3,131,23.589502164502164,23.698917748917747,22.05626419805809,22.865873015873017
1800-1918,eigenvector,3,131,0.08946379083565432,0.08987864570887975,0.08387354139986924,0.08732495624629397
1800-1918,betweenness,3,131,0.00939949529288136,0.006762760090245657,0.006628196098025775,0.003875789136772948
1800-1918,closeness,3,131,0.15174091770909195,0.15022923161562443,0.14347544833556286,0.14806246385193753
